filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365080369.bmp,1603482876905,111,113,4.99436,108,111,106,113,1114.36,481.079,700.301,511.1,6.77633,177.448,344.021,344.092,1,1,1,1
1603365080402.bmp,1603482876925,111,113,4.99274,107,111,106,113,1114.31,480.824,700.191,510.805,7.54094,177.704,342.462,344.092,1,1,1,1
1603365080436.bmp,1603482876945,111,113,4.99199,107,111,106,113,1114.46,480.921,700.342,510.894,5.70735,176.498,342.462,344.092,1,1,1,1
1603365080469.bmp,1603482876965,111,113,4.99146,107,111,106,113,1114.43,480.933,700.435,511.068,7.37189,177.814,342.462,344.092,1,1,1,1
1603365080502.bmp,1603482876985,111,113,4.99386,107,111,106,113,1113.97,480.559,699.975,510.718,9.93905,177.324,342.462,344.092,1,1,1,1
1603365080536.bmp,1603482877005,111,113,4.98971,107,111,106,113,1113.44,480.193,699.152,510.196,7.14225,177.034,342.462,344.092,1,1,1,1
1603365080569.bmp,1603482877025,111,113,5.00077,107,111,106,113,1113.07,479.998,698.885,510.107,5.37698,176.58,342.462,344.092,1,1,1,1
1603365080602.bmp,1603482877045,111,113,5.00125,107,111,106,113,1113.01,479.949,698.896,510.137,8.65802,176.837,342.462,344.092,1,1,1,1
1603365080636.bmp,1603482877065,111,113,4.99858,107,111,106,113,1113.57,480.417,699.326,510.406,6.75185,177.952,342.462,344.092,1,1,1,1
1603365080669.bmp,1603482877085,111,113,4.99895,107,111,106,113,1113.91,480.313,699.786,510.422,6.95799,177.709,342.462,344.092,1,1,1,1
1603365080702.bmp,1603482877105,111,113,4.99739,107,111,106,113,1113.67,480.645,699.576,510.69,8.87807,175.808,342.462,344.092,1,1,1,1
1603365080736.bmp,1603482877125,111,113,4.99283,107,111,106,113,1113.66,480.589,699.596,510.666,8.29993,176.603,342.462,344.092,1,1,1,1
1603365080769.bmp,1603482877145,111,113,4.99688,108,111,106,113,1114.04,480.798,699.812,510.851,5.34659,176.557,344.021,344.092,1,1,1,1
1603365080802.bmp,1603482877165,111,113,4.99422,107,111,106,113,1113.99,481.206,699.821,511.243,6.15297,176.24,342.462,344.092,1,1,1,1
1603365080836.bmp,1603482877185,111,113,4.99599,107,111,106,113,1113.98,481.374,699.793,511.386,5.15907,177.541,342.462,344.092,1,1,1,1
1603365080866.bmp,1603482877205,111,113,4.9922,107,111,106,113,1113.38,480.918,699.269,511.025,8.18365,177.082,342.462,344.092,1,1,1,1
1603365080900.bmp,1603482877225,111,113,4.992,107,111,106,113,1112.96,480.483,698.783,510.688,9.80099,178.208,342.462,344.092,1,1,1,1
1603365080933.bmp,1603482877245,111,113,5.00062,107,111,106,113,1112.46,480.604,698.089,510.55,6.46136,177.365,342.462,344.092,1,1,1,1
1603365080969.bmp,1603482877265,111,113,4.99438,107,111,106,113,1111.55,480.298,697.14,510.399,9.30149,176.725,342.462,344.092,1,1,1,1
1603365081002.bmp,1603482877285,111,113,4.99088,107,111,106,113,1111.78,480.574,697.404,510.708,11.6144,178.21,342.462,344.092,1,1,1,1
1603365081036.bmp,1603482877305,111,113,4.99599,107,111,106,113,1112.01,480.32,697.405,510.406,9.95232,177.952,342.462,344.092,1,1,1,1
1603365081069.bmp,1603482877325,111,113,4.98348,108,111,106,113,1112.14,480.625,697.602,510.699,5.1777,174.989,344.021,344.092,1,1,1,1
1603365081102.bmp,1603482877345,111,113,4.99395,107,111,106,113,1111.66,480.506,697.288,510.601,7.91369,178.149,342.462,344.092,1,1,1,1
1603365081136.bmp,1603482877365,111,113,4.99702,107,111,106,113,1111.61,480.622,697.254,510.663,5.31349,178.346,342.462,344.092,1,1,1,1
1603365081169.bmp,1603482877385,111,113,4.99735,107,111,106,113,1111.23,480.447,696.656,510.59,7.74008,177.402,342.462,344.092,1,1,1,1
1603365081202.bmp,1603482877405,111,113,4.99225,107,111,106,113,1110.76,481.1,696.669,511.059,8.88659,177.073,342.462,344.092,1,1,1,1
1603365081236.bmp,1603482877425,111,113,4.99769,107,111,106,113,1110.64,481,696.42,510.911,5.1382,177.028,342.462,344.092,1,1,1,1
1603365081269.bmp,1603482877445,111,113,4.99366,107,111,106,113,1110.65,480.939,696.419,510.918,3.64953,177.068,342.462,344.092,1,1,1,1
1603365081302.bmp,1603482877465,111,113,4.9931,107,111,106,113,1110.49,481.093,696.314,511.209,10.1735,175.953,342.462,344.092,1,1,1,1
1603365081336.bmp,1603482877485,111,113,4.99825,107,111,106,113,1110.43,481.235,696.118,511.325,7.75782,177.035,342.462,344.092,1,1,1,1
1603365081369.bmp,1603482877505,111,113,5.00025,108,111,106,113,1110.11,481.012,695.719,510.977,5.02083,175.939,344.021,344.092,1,1,1,1
1603365081402.bmp,1603482877525,111,113,5.0017,107,111,106,113,1110.05,480.915,695.812,511.049,9.41569,177.585,342.462,344.092,1,1,1,1
1603365081436.bmp,1603482877545,111,112,4.9801,107,111,106,112,1109.65,480.535,695.54,510.751,7.97436,177.819,342.462,342.498,1,1,1,1
1603365081469.bmp,1603482877565,111,113,5.00152,108,111,106,113,1109.19,480.667,694.983,510.778,4.54299,179.357,344.021,344.092,1,1,1,1
1603365081502.bmp,1603482877585,111,113,5.00229,108,111,106,113,1109.2,480.61,694.86,510.827,4.69328,178.997,344.021,344.092,1,1,1,1
1603365081533.bmp,1603482877605,111,113,4.99986,108,111,106,113,1109.31,480.593,695.096,510.756,3.34542,177.489,344.021,344.092,1,1,1,1
1603365081566.bmp,1603482877625,111,113,5.00581,108,111,106,113,1109.15,480.597,694.657,510.619,4.69655,177.891,344.021,344.092,1,1,1,1
1603365081602.bmp,1603482877645,111,113,5.00078,108,111,106,113,1109.12,480.614,694.704,510.726,3.90548,178.311,344.021,344.092,1,1,1,1
1603365081636.bmp,1603482877665,111,113,5.00633,107,111,106,113,1108.77,480.529,694.491,510.6,0.546683,177.859,342.462,344.092,1,1,1,1
1603365081669.bmp,1603482877685,111,113,4.99552,108,111,106,113,1108.41,480.342,694.29,510.513,1.01347,177.497,344.021,344.092,1,1,1,1
1603365081702.bmp,1603482877705,111,113,5.00332,107,111,106,113,1108.64,480.523,694.465,510.711,1.60412,176.469,342.462,344.092,1,1,1,1
1603365081736.bmp,1603482877725,111,109,4.90604,107,111,104,109,1108.45,480.449,695.763,506.817,2.16061,131.279,342.462,334.626,1,1,1,1
1603365081769.bmp,1603482877745,111,113,4.99356,108,111,106,113,1108.19,480.525,693.974,510.528,4.24778,178.442,344.021,344.092,1,1,1,1
1603365081802.bmp,1603482877765,111,113,4.99248,108,111,106,113,1108.02,480.544,693.827,510.591,3.46543,177.219,344.021,344.092,1,1,1,1
1603365081836.bmp,1603482877785,111,113,4.99619,107,111,106,113,1107.61,480.254,693.508,510.404,7.35012,177.748,342.462,344.092,1,1,1,1
1603365081869.bmp,1603482877805,111,113,4.99375,108,111,106,113,1107.88,480.22,693.814,510.377,4.18561,178.611,344.021,344.092,1,1,1,1
1603365081902.bmp,1603482877825,111,113,4.99267,108,111,106,113,1107.85,480.312,693.748,510.491,3.36063,176.416,344.021,344.092,1,1,1,1
1603365081936.bmp,1603482877845,111,113,4.99177,108,111,106,113,1107.87,480.563,693.759,510.551,2.28519,177.123,344.021,344.092,1,1,1,1
1603365081969.bmp,1603482877865,111,113,4.99323,107,111,106,113,1107.41,480.129,693.338,510.262,5.74446,179.018,342.462,344.092,1,1,1,1
1603365082002.bmp,1603482877885,111,113,4.99506,108,111,106,113,1107.57,480.414,693.392,510.375,1.76501,178.904,344.021,344.092,1,1,1,1
1603365082036.bmp,1603482877905,111,113,4.99626,108,111,106,113,1107.69,480.425,693.525,510.486,5.00767,178.437,344.021,344.092,1,1,1,1
1603365082069.bmp,1603482877925,111,113,5.00222,108,111,106,113,1107.61,480.708,693.573,510.719,0.152281,177.593,344.021,344.092,1,1,1,1
1603365082102.bmp,1603482877945,111,113,4.99358,108,111,106,113,1107.5,480.525,693.348,510.527,1.32951,178.007,344.021,344.092,1,1,1,1
1603365082136.bmp,1603482877965,111,113,4.99385,108,111,106,113,1107.29,480.556,693.02,510.639,3.04096,177.933,344.021,344.092,1,1,1,1
1603365082166.bmp,1603482877985,111,113,5.00391,108,111,106,113,1107.33,480.661,692.992,510.832,3.40973,179.426,344.021,344.092,1,1,1,1
1603365082202.bmp,1603482878005,111,113,4.99928,108,111,106,113,1107.53,480.855,693.202,510.951,1.61215,179.65,344.021,344.092,1,1,1,1
1603365082236.bmp,1603482878025,111,113,5.00209,108,111,106,113,1107.79,481.213,693.652,511.218,3.06575,175.686,344.021,344.092,1,1,1,1
1603365082269.bmp,1603482878045,111,113,4.99657,108,111,106,113,1107.61,481.195,693.381,511.187,1.65304,178.356,344.021,344.092,1,1,1,1
1603365082302.bmp,1603482878065,111,113,4.99313,108,111,106,113,1107.82,481.205,693.507,511.176,177.145,177.73,344.021,344.092,1,1,1,1
1603365082336.bmp,1603482878085,111,113,4.99757,108,111,106,113,1107.76,481.161,693.571,511.088,174.738,178.819,344.021,344.092,1,1,1,1
1603365082369.bmp,1603482878105,111,113,4.99717,108,111,106,113,1107.93,481.16,693.714,511.12,177.053,177.185,344.021,344.092,1,1,1,1
1603365082402.bmp,1603482878125,111,113,5.00027,108,111,106,113,1107.83,480.979,693.585,511.052,177.881,178.171,344.021,344.092,1,1,1,1
1603365082436.bmp,1603482878145,111,113,4.98813,108,111,106,113,1107.91,480.661,693.808,510.714,179.586,178.126,344.021,344.092,1,1,1,1
1603365082469.bmp,1603482878165,111,113,4.98597,108,111,106,113,1108.07,480.519,693.935,510.747,1.95475,179.746,344.021,344.092,1,1,1,1
1603365082502.bmp,1603482878185,111,113,4.99217,108,111,106,113,1108.17,480.481,693.965,510.537,178.9,178.739,344.021,344.092,1,1,1,1
1603365082536.bmp,1603482878205,111,113,4.99577,108,111,106,113,1108.57,481.012,694.378,510.89,2.48961,178.385,344.021,344.092,1,1,1,1
1603365082569.bmp,1603482878225,111,113,4.99084,108,111,106,113,1108.46,481.148,694.329,511.182,5.12706,176.872,344.021,344.092,1,1,1,1
1603365082600.bmp,1603482878245,111,113,4.9948,108,111,106,113,1108.66,481.223,694.567,511.257,5.26267,176.633,344.021,344.092,1,1,1,1
1603365082633.bmp,1603482878265,111,113,4.99261,108,111,106,113,1108.64,481.1,694.458,510.988,4.12536,178.052,344.021,344.092,1,1,1,1
1603365082669.bmp,1603482878285,111,113,4.99463,107,111,106,113,1108.79,481.1,694.588,511.092,3.20414,178.21,342.462,344.092,1,1,1,1
1603365082702.bmp,1603482878305,111,113,4.99808,108,111,106,113,1108.67,481.205,694.614,511.182,4.77359,177.846,344.021,344.092,1,1,1,1
1603365082736.bmp,1603482878325,111,109,4.90236,108,111,104,109,1108.74,480.987,695.285,506.97,0.89976,135.019,344.021,334.626,1,1,1,1
1603365082769.bmp,1603482878345,111,113,5.00051,107,111,106,113,1108.94,481.221,694.842,511.118,4.52939,177.377,342.462,344.092,1,1,1,1
1603365082802.bmp,1603482878365,111,113,4.99618,108,111,106,113,1109.34,481.154,695.006,511.194,5.72818,178.397,344.021,344.092,1,1,1,1
1603365082836.bmp,1603482878385,111,109,4.90598,108,111,103,109,1109.3,481.241,696.974,507.002,7.50561,141.119,344.021,333.076,1,1,1,1
1603365082869.bmp,1603482878405,111,113,4.99574,108,111,106,113,1109.42,481.307,695.17,511.365,3.58727,0.516997,344.021,344.092,1,1,1,1
1603365082902.bmp,1603482878425,111,113,4.99476,107,111,106,113,1109.46,480.761,695.083,510.968,11.4676,0.377535,342.462,344.092,1,1,1,1
1603365082936.bmp,1603482878445,111,113,4.99798,107,111,106,113,1109.35,480.596,695.125,510.726,6.10139,177.109,342.462,344.092,1,1,1,1
1603365082969.bmp,1603482878465,111,113,4.99323,107,111,106,113,1109.67,480.616,695.329,510.603,6.82742,178.121,342.462,344.092,1,1,1,1
1603365083000.bmp,1603482878485,111,113,5.00069,107,111,106,113,1109.63,480.368,695.344,510.433,7.8068,178.717,342.462,344.092,1,1,1,1
1603365083036.bmp,1603482878505,111,113,4.99704,107,111,106,113,1109.78,480.519,695.432,510.399,10.6479,177.711,342.462,344.092,1,1,1,1
1603365083069.bmp,1603482878525,111,113,4.99129,107,111,106,113,1110.02,480.319,695.479,510.333,7.52929,178.088,342.462,344.092,1,1,1,1
1603365083102.bmp,1603482878545,111,113,4.99081,107,111,106,113,1109.89,479.957,695.293,510.098,7.31886,176.453,342.462,344.092,1,1,1,1
1603365083136.bmp,1603482878565,111,113,4.99151,107,111,106,113,1110.07,480.31,695.44,510.269,7.81637,177.444,342.462,344.092,1,1,1,1
1603365083166.bmp,1603482878585,111,113,4.993,107,111,106,113,1109.96,480.076,695.368,510.194,3.4429,177.432,342.462,344.092,1,1,1,1
1603365083202.bmp,1603482878605,111,113,4.99653,107,111,106,113,1110.02,480.338,695.388,510.245,9.51491,176.84,342.462,344.092,1,1,1,1
1603365083233.bmp,1603482878625,111,113,4.99347,107,111,106,113,1109.97,480.197,695.479,510.333,7.90116,178.088,342.462,344.092,1,1,1,1
1603365083269.bmp,1603482878645,111,113,4.99527,107,111,106,113,1110.04,480.198,695.581,510.408,3.0504,177.087,342.462,344.092,1,1,1,1
1603365083302.bmp,1603482878665,111,113,4.99491,107,111,106,113,1110.14,480.206,695.594,510.371,6.69555,177.094,342.462,344.092,1,1,1,1
1603365083333.bmp,1603482878685,111,113,5.00153,107,111,106,113,1110.2,480.234,695.994,510.291,5.5299,178.683,342.462,344.092,1,1,1,1
1603365083369.bmp,1603482878705,111,113,4.99881,107,111,106,113,1110.11,480.307,695.613,510.408,7.44424,176.833,342.462,344.092,1,1,1,1
1603365083402.bmp,1603482878725,111,113,4.99846,107,111,106,113,1110.17,480.245,695.87,510.311,6.63007,178.968,342.462,344.092,1,1,1,1
1603365083436.bmp,1603482878745,111,113,4.99766,107,111,106,113,1110.31,480.107,696.037,509.969,7.08904,178.14,342.462,344.092,1,1,1,1
1603365083469.bmp,1603482878765,111,113,4.99824,107,111,106,113,1110.45,480.085,696.187,510.082,2.32604,177.62,342.462,344.092,1,1,1,1
1603365083502.bmp,1603482878785,111,113,4.98568,108,111,106,113,1110.53,479.827,696.044,509.897,3.58649,178.668,344.021,344.092,1,1,1,1
1603365083536.bmp,1603482878805,111,113,4.99172,108,111,106,113,1110.62,479.646,695.964,509.692,12.5779,176.981,344.021,344.092,1,1,1,1
1603365083569.bmp,1603482878825,111,113,4.99589,108,111,106,113,1110.64,479.63,695.944,509.636,13.2141,177.709,344.021,344.092,1,1,1,1
1603365083600.bmp,1603482878845,111,113,5.00542,107,111,106,113,1110.91,479.675,696.236,509.632,4.30109,177.09,342.462,344.092,1,1,1,1
1603365083636.bmp,1603482878865,111,110,4.93241,108,111,106,110,1111.04,479.758,696.46,506.631,176.844,29.8749,344.021,339.321,1,1,1,1
1603365083669.bmp,1603482878885,111,113,4.99405,108,111,106,113,1111.17,479.485,696.675,509.407,178.678,177.634,344.021,344.092,1,1,1,1
1603365083702.bmp,1603482878905,111,113,4.99928,108,111,105,113,1111.29,479.443,696.67,509.254,4.37786,176.314,344.021,342.549,1,1,1,1
1603365083736.bmp,1603482878925,111,113,4.99637,108,111,106,113,1111.39,479.352,696.83,509.315,0.669321,177.901,344.021,344.092,1,1,1,1
1603365083769.bmp,1603482878945,111,113,5.00177,108,111,106,113,1111.47,479.235,697.002,509.224,1.83719,178.5,344.021,344.092,1,1,1,1
1603365083802.bmp,1603482878965,111,113,5.00365,107,111,106,113,1111.43,479.391,697.014,509.406,178.667,178.075,342.462,344.092,1,1,1,1
1603365083836.bmp,1603482878985,111,113,4.99439,107,111,106,113,1111.29,479.262,696.83,509.315,3.38899,177.901,342.462,344.092,1,1,1,1
1603365083869.bmp,1603482879005,111,113,5.00457,107,111,106,113,1111.36,479.192,697.002,509.224,4.47259,178.5,342.462,344.092,1,1,1,1
1603365083902.bmp,1603482879025,111,113,4.99294,108,111,106,113,1111.29,478.744,696.789,508.798,4.05176,177.285,344.021,344.092,1,1,1,1
1603365083936.bmp,1603482879045,111,113,4.99208,108,111,106,113,1111.27,478.703,696.711,508.811,5.27044,176.931,344.021,344.092,1,1,1,1
1603365083969.bmp,1603482879065,111,113,4.99367,107,111,106,113,1110.94,478.873,696.578,508.746,6.10233,178.001,342.462,344.092,1,1,1,1
1603365084002.bmp,1603482879085,112,113,5.01209,108,112,106,113,1110.94,478.781,696.457,508.645,2.86416,177.453,345.604,344.092,1,1,1,1
1603365084036.bmp,1603482879105,111,113,5.00595,108,111,106,113,1110.89,478.637,696.314,508.572,0.614024,178.277,344.021,344.092,1,1,1,1
1603365084069.bmp,1603482879125,111,113,5.00907,107,111,106,113,1111.12,478.762,696.466,508.686,3.57297,177.346,342.462,344.092,1,1,1,1
1603365084102.bmp,1603482879145,111,113,4.99195,108,111,106,113,1110.96,478.825,696.481,508.759,7.5678,175.774,344.021,344.092,1,1,1,1
1603365084133.bmp,1603482879165,111,113,4.99607,108,111,106,113,1111.77,479.203,697.199,509.145,178.947,177.264,344.021,344.092,1,1,1,1
1603365084169.bmp,1603482879185,111,113,5.00198,108,111,106,113,1112.66,479.46,698.044,509.383,178.414,176.772,344.021,344.092,1,1,1,1
1603365084202.bmp,1603482879205,111,113,4.99879,108,111,106,113,1112.43,479.455,697.82,509.392,5.10632,179.726,344.021,344.092,1,1,1,1
1603365084236.bmp,1603482879225,111,113,4.99357,108,111,106,113,1112.55,479.674,697.869,509.731,1.84872,177.8,344.021,344.092,1,1,1,1
1603365084269.bmp,1603482879245,111,113,4.99899,107,111,106,113,1112.87,479.705,698.286,509.824,179.42,177.174,342.462,344.092,1,1,1,1
1603365084302.bmp,1603482879265,111,113,4.99711,107,111,106,113,1112.91,479.774,698.334,509.865,0.807627,177.944,342.462,344.092,1,1,1,1
1603365084336.bmp,1603482879285,111,113,4.99201,107,111,106,113,1112.69,479.98,698.115,509.999,5.29677,178.741,342.462,344.092,1,1,1,1
1603365084366.bmp,1603482879305,111,113,4.99745,107,111,106,113,1112.03,479.857,697.485,509.821,1.72082,176.946,342.462,344.092,1,1,1,1
1603365084402.bmp,1603482879325,111,113,4.99645,107,111,106,113,1112.03,479.785,697.354,509.81,2.89221,176.471,342.462,344.092,1,1,1,1
1603365084436.bmp,1603482879345,111,113,5.0001,108,111,105,113,1112.27,479.969,697.566,509.76,178.55,175.778,344.021,342.549,1,1,1,1
1603365084469.bmp,1603482879365,111,113,5.00713,107,111,106,113,1112.07,479.93,697.403,509.946,3.34019,179.004,342.462,344.092,1,1,1,1
1603365084502.bmp,1603482879385,111,113,4.99547,108,111,106,113,1112.02,479.753,697.235,509.718,177.075,176.36,344.021,344.092,1,1,1,1
1603365084536.bmp,1603482879405,111,113,4.99462,108,111,106,113,1111.93,479.669,697.063,509.41,0.38442,177.657,344.021,344.092,1,1,1,1
1603365084569.bmp,1603482879425,111,113,4.99538,108,111,106,113,1112.02,479.541,697.355,509.586,8.31002,174.64,344.021,344.092,1,1,1,1
1603365084600.bmp,1603482879445,111,113,4.99391,108,111,106,113,1112.29,479.854,697.714,509.682,178.968,177.252,344.021,344.092,1,1,1,1
1603365084633.bmp,1603482879465,111,113,4.98787,108,111,106,113,1112.13,479.681,697.623,509.734,1.18663,177.716,344.021,344.092,1,1,1,1
1603365084669.bmp,1603482879485,111,113,4.99691,108,111,106,113,1112.12,479.545,697.471,509.496,2.27596,176.095,344.021,344.092,1,1,1,1
1603365084702.bmp,1603482879505,111,113,4.99044,108,111,106,113,1112.4,479.377,697.844,509.409,7.69077,177.581,344.021,344.092,1,1,1,1
1603365084736.bmp,1603482879525,111,113,4.99234,107,111,106,113,1112.38,479.215,697.818,509.298,7.67713,177.086,342.462,344.092,1,1,1,1
1603365084769.bmp,1603482879545,111,113,4.99798,107,111,106,113,1112.02,479.427,697.196,509.454,5.17375,177.386,342.462,344.092,1,1,1,1
1603365084802.bmp,1603482879565,111,113,4.98994,107,111,106,113,1111.91,479.572,697.161,509.552,5.9162,177.241,342.462,344.092,1,1,1,1
1603365084836.bmp,1603482879585,111,113,4.99037,107,111,106,113,1111.68,479.746,697.111,510.007,3.68584,175.238,342.462,344.092,1,1,1,1
1603365084869.bmp,1603482879605,111,113,4.99112,107,111,106,113,1111.21,480.245,696.71,510.226,178.804,175.473,342.462,344.092,1,1,1,1
1603365084902.bmp,1603482879625,111,113,4.98506,108,111,106,113,1110.5,479.894,696.133,509.953,10.2163,177.983,344.021,344.092,1,1,1,1
1603365084936.bmp,1603482879645,111,113,4.98682,107,111,106,113,1110.33,479.881,696.101,509.944,8.23216,177.783,342.462,344.092,1,1,1,1
1603365084966.bmp,1603482879665,111,113,5.00252,107,111,106,113,1110.77,479.895,696.254,510.077,5.37009,178.225,342.462,344.092,1,1,1,1
1603365085002.bmp,1603482879685,111,113,4.9939,107,111,106,113,1110.49,479.367,696.117,509.379,8.583,176.114,342.462,344.092,1,1,1,1
1603365085036.bmp,1603482879705,111,113,4.9937,107,111,106,113,1110.59,479.592,696.24,509.72,15.9052,176.956,342.462,344.092,1,1,1,1
1603365085069.bmp,1603482879725,111,113,4.99705,107,111,106,113,1110.56,479.468,696.294,509.608,12.7124,175.469,342.462,344.092,1,1,1,1
1603365085102.bmp,1603482879745,111,113,4.99533,107,111,106,113,1110.63,479.749,696.545,509.865,11.1947,177.603,342.462,344.092,1,1,1,1
1603365085136.bmp,1603482879765,111,113,5.00274,107,111,106,113,1110.47,479.918,696.254,510.077,5.73034,178.225,342.462,344.092,1,1,1,1
1603365085169.bmp,1603482879785,111,113,4.98722,107,111,106,113,1110.28,479.959,696.134,510.002,11.0597,177.549,342.462,344.092,1,1,1,1
1603365085200.bmp,1603482879805,111,113,4.99257,107,111,106,113,1110.22,479.895,696.177,510.035,7.70608,176.841,342.462,344.092,1,1,1,1
1603365085236.bmp,1603482879825,111,113,4.98228,107,111,106,113,1110.04,479.926,696.024,509.931,6.11235,178.869,342.462,344.092,1,1,1,1
1603365085269.bmp,1603482879845,111,113,4.99158,107,111,106,113,1109.98,479.939,695.851,509.781,7.56601,177.701,342.462,344.092,1,1,1,1
1603365085300.bmp,1603482879865,111,113,4.99479,107,111,106,113,1109.82,480.072,695.828,510.13,7.18014,0.800358,342.462,344.092,1,1,1,1
1603365085333.bmp,1603482879885,111,113,4.99087,108,111,106,113,1109.97,480.15,695.791,510.182,4.38415,0.503421,344.021,344.092,1,1,1,1
1603365085369.bmp,1603482879905,111,113,4.99848,108,111,106,113,1109.57,479.91,695.442,509.968,5.62747,178.13,344.021,344.092,1,1,1,1
1603365085402.bmp,1603482879925,111,110,4.91137,107,111,103,110,1109.27,479.858,696.783,506.622,4.78264,140.946,342.462,334.67,1,1,1,1
1603365085436.bmp,1603482879945,111,113,4.98859,107,111,106,113,1109.12,479.623,694.946,509.867,2.01869,178.841,342.462,344.092,1,1,1,1
1603365085469.bmp,1603482879965,111,113,4.98339,107,111,106,113,1109.14,479.541,695.045,509.636,4.09753,177.537,342.462,344.092,1,1,1,1
1603365085502.bmp,1603482879985,111,113,4.98434,108,111,106,113,1108.86,479.618,694.87,509.622,1.80451,179.293,344.021,344.092,1,1,1,1
1603365085536.bmp,1603482880005,111,113,4.98629,108,111,106,113,1108.75,479.641,694.577,509.678,4.0488,178.698,344.021,344.092,1,1,1,1
1603365085569.bmp,1603482880025,111,113,4.99029,107,111,106,113,1108.34,479.427,694.281,509.608,8.35559,178.438,342.462,344.092,1,1,1,1
1603365085600.bmp,1603482880045,111,113,4.98828,108,111,106,113,1108.11,479.405,694.127,509.407,3.48556,177.09,344.021,344.092,1,1,1,1
1603365085633.bmp,1603482880065,111,113,4.99419,108,111,106,113,1108.03,479.511,693.972,509.59,7.19244,177.013,344.021,344.092,1,1,1,1
1603365085669.bmp,1603482880085,111,113,4.99735,108,111,106,113,1107.99,479.462,693.838,509.506,9.1537,178.525,344.021,344.092,1,1,1,1
1603365085702.bmp,1603482880105,111,113,5.00155,107,111,106,113,1107.55,479.189,693.513,509.136,5.80486,176.733,342.462,344.092,1,1,1,1
1603365085736.bmp,1603482880125,111,113,4.98551,108,111,106,113,1107.6,478.884,693.679,509.22,8.36088,0.240665,344.021,344.092,1,1,1,1
1603365085769.bmp,1603482880145,111,113,4.99957,107,111,106,113,1107.75,479.162,693.676,509.141,11.9616,176.051,342.462,344.092,1,1,1,1
1603365085802.bmp,1603482880165,111,113,4.99768,108,111,106,113,1107.73,479.342,693.616,509.403,8.14537,174.985,344.021,344.092,1,1,1,1
1603365085836.bmp,1603482880185,111,113,4.99515,107,111,106,113,1107.49,479.109,693.503,509.103,10.1482,177.082,342.462,344.092,1,1,1,1
1603365085869.bmp,1603482880205,111,113,4.99702,107,111,106,113,1107.36,478.919,693.265,508.983,9.82764,178.676,342.462,344.092,1,1,1,1
1603365085900.bmp,1603482880225,111,113,4.98892,107,111,106,113,1107.3,479.26,693.378,509.177,12.3219,178.449,342.462,344.092,1,1,1,1
1603365085936.bmp,1603482880245,111,113,4.99004,108,111,106,113,1107.5,479.214,693.524,509.158,9.00999,176.923,344.021,344.092,1,1,1,1
1603365085969.bmp,1603482880265,111,113,4.99886,107,111,106,113,1107.65,479.173,693.644,509.179,12.1323,176.097,342.462,344.092,1,1,1,1
1603365086002.bmp,1603482880285,111,113,4.9942,107,111,106,113,1107.69,479.118,693.596,509.093,11.3648,177.356,342.462,344.092,1,1,1,1
1603365086036.bmp,1603482880305,111,113,4.99555,107,111,106,113,1107.5,478.496,693.271,508.698,8.60396,177.865,342.462,344.092,1,1,1,1
1603365086066.bmp,1603482880325,111,113,4.99696,107,111,106,113,1107.73,478.716,693.407,508.732,4.20626,178.791,342.462,344.092,1,1,1,1
1603365086102.bmp,1603482880345,111,113,4.99847,107,111,106,113,1107.67,478.629,693.478,508.622,3.76382,178.725,342.462,344.092,1,1,1,1
1603365086133.bmp,1603482880365,111,113,4.99824,107,111,106,113,1107.77,478.667,693.446,508.635,3.866,178.912,342.462,344.092,1,1,1,1
1603365086169.bmp,1603482880385,111,113,4.99775,107,111,106,113,1108.06,478.911,694.018,508.962,5.12225,176.769,342.462,344.092,1,1,1,1
1603365086202.bmp,1603482880405,110,113,4.98725,107,110,106,113,1108.25,479.103,694.144,509.206,7.764,175.853,340.879,344.092,1,1,1,1
1603365086233.bmp,1603482880425,111,113,5.00243,107,111,106,113,1108.29,479.385,694.201,509.366,5.55799,176.095,342.462,344.092,1,1,1,1
1603365086269.bmp,1603482880445,111,113,4.99555,107,111,106,113,1108.09,479.101,693.808,509.108,4.11949,177.295,342.462,344.092,1,1,1,1
1603365086302.bmp,1603482880465,111,113,4.99123,108,111,106,113,1108.33,479.317,694.201,509.366,7.21963,176.095,344.021,344.092,1,1,1,1
1603365086336.bmp,1603482880485,111,113,4.99214,107,111,106,113,1108.15,479.338,694.1,509.352,7.59632,177.769,342.462,344.092,1,1,1,1
1603365086369.bmp,1603482880505,111,113,4.99757,107,111,106,113,1108.19,479.388,693.842,509.16,5.00665,176.413,342.462,344.092,1,1,1,1
1603365086402.bmp,1603482880525,111,113,4.99874,107,111,106,113,1108.1,479.338,693.845,509.178,7.77439,176.505,342.462,344.092,1,1,1,1
1603365086436.bmp,1603482880545,111,113,4.999,107,111,106,113,1107.91,478.862,693.649,509.057,9.63717,177.608,342.462,344.092,1,1,1,1
1603365086469.bmp,1603482880565,111,113,5.0008,107,111,106,113,1108.1,478.97,693.667,509.069,1.0861,177.899,342.462,344.092,1,1,1,1
1603365086502.bmp,1603482880585,111,113,4.99635,107,111,106,113,1107.97,478.692,693.641,508.779,9.42352,179.622,342.462,344.092,1,1,1,1
