filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365075633.bmp,1603482874065,111,113,5.00443,107,111,106,113,1114.54,482.754,700.713,512.736,178.983,178.378,342.462,344.092,1,1,1,1
1603365075667.bmp,1603482874085,111,113,5.00375,108,111,106,113,1114.71,482.702,700.815,512.684,6.30826,177.271,344.021,344.092,1,1,1,1
1603365075700.bmp,1603482874105,111,113,4.99737,107,111,106,113,1114.47,482.375,700.766,512.502,4.25627,178.25,342.462,344.092,1,1,1,1
1603365075736.bmp,1603482874125,111,113,4.99867,107,111,106,113,1114.55,482.334,700.692,512.42,1.74185,177.183,342.462,344.092,1,1,1,1
1603365075769.bmp,1603482874145,111,113,4.99347,108,111,106,113,1114.72,482.327,701.005,512.329,3.15257,178.437,344.021,344.092,1,1,1,1
1603365075802.bmp,1603482874165,111,113,4.99987,108,111,106,113,1114.88,482.521,701.17,512.33,3.0444,178.583,344.021,344.092,1,1,1,1
1603365075836.bmp,1603482874185,111,113,4.99475,108,111,106,113,1114.6,482.25,700.872,512.195,4.65022,177.341,344.021,344.092,1,1,1,1
1603365075869.bmp,1603482874205,111,113,4.9968,107,111,106,113,1114.63,482.297,700.913,512.39,4.91531,178.046,342.462,344.092,1,1,1,1
1603365075902.bmp,1603482874225,111,113,4.99775,108,111,106,113,1114.77,482.215,700.977,512.156,179.347,179.161,344.021,344.092,1,1,1,1
1603365075936.bmp,1603482874245,111,113,4.98279,108,111,106,113,1114.86,482.036,701.106,512.104,4.14969,177.495,344.021,344.092,1,1,1,1
1603365075969.bmp,1603482874265,111,113,4.99226,107,111,106,113,1114.99,481.893,701.506,511.859,0.746835,179.84,342.462,344.092,1,1,1,1
1603365076002.bmp,1603482874285,111,113,4.99157,108,111,106,113,1115.46,482.041,701.807,511.908,1.70471,177.799,344.021,344.092,1,1,1,1
1603365076036.bmp,1603482874305,111,113,4.99201,108,111,106,113,1115.3,482.128,701.782,511.918,178.821,177.625,344.021,344.092,1,1,1,1
1603365076069.bmp,1603482874325,111,113,4.98968,108,111,106,113,1115.51,481.985,701.838,511.911,179.817,177.712,344.021,344.092,1,1,1,1
1603365076102.bmp,1603482874345,111,113,4.9854,108,111,106,113,1115.59,481.809,701.896,511.896,179.999,177.64,344.021,344.092,1,1,1,1
1603365076136.bmp,1603482874365,111,113,4.99305,108,111,106,113,1115.56,482.11,701.92,511.989,2.50484,178.52,344.021,344.092,1,1,1,1
1603365076169.bmp,1603482874385,111,113,4.98542,108,111,106,113,1115.59,481.817,701.896,511.896,179.696,177.64,344.021,344.092,1,1,1,1
1603365076202.bmp,1603482874405,111,113,4.99134,108,111,106,113,1115.68,482.039,702.045,512.09,3.30938,179.105,344.021,344.092,1,1,1,1
1603365076236.bmp,1603482874425,111,113,4.99319,108,111,106,113,1115.74,482.031,702.092,512.063,4.14856,178.418,344.021,344.092,1,1,1,1
1603365076266.bmp,1603482874445,111,113,4.98617,108,111,106,113,1115.49,481.667,701.917,511.895,4.64267,177.46,344.021,344.092,1,1,1,1
1603365076300.bmp,1603482874465,111,113,4.98384,108,111,106,113,1115.66,481.835,701.965,511.906,2.40617,178.897,344.021,344.092,1,1,1,1
1603365076333.bmp,1603482874485,111,113,4.99923,107,111,106,113,1115.39,481.436,701.788,511.581,11.1947,178.259,342.462,344.092,1,1,1,1
1603365076366.bmp,1603482874505,111,113,4.99141,108,111,106,113,1115.78,481.597,702.181,511.802,0.914276,178.796,344.021,344.092,1,1,1,1
1603365076402.bmp,1603482874525,111,113,4.99437,108,111,106,113,1115.87,481.558,702.315,511.711,1.25302,179.02,344.021,344.092,1,1,1,1
1603365076436.bmp,1603482874545,111,113,4.98762,108,111,106,113,1116.04,481.784,702.218,511.788,4.88591,178.444,344.021,344.092,1,1,1,1
